case,activity,resource,timestamp,Att1,Att2,Att3,Att4,Att5,Att6
1201,Accepted-In Progress,Jolanta,2012/3/9 9:34:54,Low,kr,Org line A2,D_1,PROD604,POLAND
1201,Accepted-Wait,Jolanta,2012/3/12 13:24:43,Low,kr,Org line A2,D_1,PROD604,POLAND
1201,Accepted-Wait,Jolanta,2012/3/12 14:09:24,Low,kr,Org line A2,D_1,PROD604,POLAND
1201,Accepted-In Progress,Jolanta,2012/4/6 10:02:00,Low,kr,Org line A2,D_1,PROD604,POLAND
1201,Completed-Closed,Jolanta,2012/5/23 14:02:57,Low,kr,Org line A2,D_1,PROD604,POLAND
1708,Accepted-In Progress,Mikael,2011/12/9 8:13:39,Medium,se,Org line C,C_6,PROD154,Sweden
1708,Completed-Closed,Mikael,2012/1/17 14:00:57,Medium,se,Org line C,C_6,PROD154,Sweden
1208,Accepted-In Progress,Ewa,2012/3/12 0:15:03,Medium,us,Org line G3,C_6,PROD98,POLAND
1208,Completed-Closed,Ewa,2012/3/12 0:16:23,Medium,us,Org line G3,C_6,PROD98,POLAND
706,Accepted-In Progress,Britt,2011/11/30 4:43:31,High,se,Org line A2,A2_1,PROD350,Sweden
706,Queued-Awaiting Assignment,Britt,2011/11/30 8:37:56,High,se,Org line A2,A2_1,PROD350,Sweden
706,Accepted-In Progress,Britt,2011/12/12 12:48:59,High,se,Org line A2,A2_1,PROD350,Sweden
706,Accepted-Wait,Britt,2011/12/12 14:52:54,High,se,Org line A2,A2_1,PROD350,Sweden
706,Completed-Closed,Britt,2012/1/19 16:18:51,High,se,Org line A2,A2_1,PROD350,Sweden
882,Accepted-In Progress,Ilias,2012/1/13 8:23:38,Low,se,Org line C,C_6,PROD802,Sweden
882,Accepted-In Progress,Ilias,2012/1/13 8:24:46,Low,se,Org line C,C_6,PROD802,Sweden
882,Completed-Closed,Ilias,2012/2/15 10:52:31,Low,se,Org line C,C_6,PROD802,Sweden
1467,Accepted-In Progress,Ewa,2012/5/18 12:42:26,Medium,us,Org line G3,C_6,PROD96,POLAND
1467,Completed-Closed,Ewa,2012/5/18 12:43:58,Medium,us,Org line G3,C_6,PROD96,POLAND
1690,Accepted-In Progress,Vesa,2011/11/25 15:08:25,High,se,Org line C,C_6,PROD805,Sweden
1690,Completed-Closed,Vesa,2012/1/23 10:11:18,High,se,Org line C,C_6,PROD805,Sweden
2196,Accepted-In Progress,Ian,2012/6/1 11:48:05,High,gb,Org line A2,A2_1,PROD236,United Kingdom
2196,Accepted-Assigned,Ian,2012/6/1 11:52:18,High,gb,Org line A2,A2_1,PROD236,United Kingdom
884,Accepted-In Progress,David,2012/1/13 9:43:55,Medium,se,Org line G4,A2_1,PROD412,Sweden
884,Accepted-Assigned,David,2012/1/13 9:47:37,Medium,se,Org line G4,A2_1,PROD412,Sweden
884,Accepted-In Progress,David,2012/5/17 10:54:33,Medium,se,Org line G4,A2_1,PROD412,Sweden
884,Completed-Closed,David,2012/5/17 10:54:35,Medium,se,Org line G4,A2_1,PROD412,Sweden
1246,Accepted-In Progress,Christer,2012/3/19 9:22:37,Major,se,Org line C,C_6,PROD805,Sweden
1246,Completed-Closed,Christer,2012/5/23 10:55:42,Major,se,Org line C,C_6,PROD805,Sweden
2024,Queued-Awaiting Assignment,Henrique,2012/5/11 22:56:56,High,br,Org line A2,A2_2,PROD124,Brazil
2205,Accepted-In Progress,Peter,2012/6/1 16:27:00,Medium,se,Org line C,E_7,PROD673,Sweden
2205,Queued-Awaiting Assignment,Peter,2012/6/1 16:45:38,Medium,se,Org line C,E_7,PROD673,Sweden
2205,Accepted-Assigned,Rohan,2012/6/4 10:27:25,Medium,se,Org line C,E_7,PROD673,INDIA
1054,Accepted-In Progress,Agneta,2012/2/13 14:57:35,Medium,se,Org line A2,A2_3,PROD831,Sweden
1054,Accepted-In Progress,Agneta,2012/2/13 14:58:23,Medium,se,Org line A2,A2_3,PROD831,Sweden
1054,Completed-Closed,Agneta,2012/3/5 15:02:28,Medium,se,Org line A2,A2_3,PROD831,Sweden
1141,Accepted-In Progress,Lisbeth,2012/2/29 8:15:32,High,se,Org line A2,A2_5,PROD236,Sweden
1141,Accepted-Wait,Lisbeth,2012/2/29 10:18:00,High,se,Org line A2,A2_5,PROD236,Sweden
