case,activity,resource,timestamp,Att1,Att2,Att3,Att4,Att5,Att6
1039,Accepted-In Progress,Katarina,2012/2/10 8:52:07,Medium,se,Org line G4,D_1,PROD374,Sweden
1039,Completed-Closed,Katarina,2012/2/29 14:32:49,Medium,se,Org line G4,D_1,PROD374,Sweden
706,Accepted-In Progress,Britt,2011/11/30 4:43:31,High,se,Org line A2,A2_1,PROD350,Sweden
706,Queued-Awaiting Assignment,Britt,2011/11/30 8:37:56,High,se,Org line A2,A2_1,PROD350,Sweden
706,Accepted-In Progress,Britt,2011/12/12 12:48:59,High,se,Org line A2,A2_1,PROD350,Sweden
706,Accepted-Wait,Britt,2011/12/12 14:52:54,High,se,Org line A2,A2_1,PROD350,Sweden
706,Completed-Closed,Britt,2012/1/19 16:18:51,High,se,Org line A2,A2_1,PROD350,Sweden
1690,Accepted-In Progress,Vesa,2011/11/25 15:08:25,High,se,Org line C,C_6,PROD805,Sweden
1690,Completed-Closed,Vesa,2012/1/23 10:11:18,High,se,Org line C,C_6,PROD805,Sweden
2196,Accepted-In Progress,Ian,2012/6/1 11:48:05,High,gb,Org line A2,A2_1,PROD236,United Kingdom
2196,Accepted-Assigned,Ian,2012/6/1 11:52:18,High,gb,Org line A2,A2_1,PROD236,United Kingdom
884,Accepted-In Progress,David,2012/1/13 9:43:55,Medium,se,Org line G4,A2_1,PROD412,Sweden
884,Accepted-Assigned,David,2012/1/13 9:47:37,Medium,se,Org line G4,A2_1,PROD412,Sweden
884,Accepted-In Progress,David,2012/5/17 10:54:33,Medium,se,Org line G4,A2_1,PROD412,Sweden
884,Completed-Closed,David,2012/5/17 10:54:35,Medium,se,Org line G4,A2_1,PROD412,Sweden
154,Accepted-In Progress,Per,2010/9/23 16:32:09,Low,se,Org line G4,A2_1,PROD304,Sweden
154,Accepted-Wait,Per,2010/12/5 13:28:02,Low,se,Org line G4,A2_1,PROD304,Sweden
154,Completed-Closed,Per,2012/1/26 12:06:11,Low,se,Org line G4,A2_1,PROD304,Sweden
1246,Accepted-In Progress,Christer,2012/3/19 9:22:37,Major,se,Org line C,C_6,PROD805,Sweden
1246,Completed-Closed,Christer,2012/5/23 10:55:42,Major,se,Org line C,C_6,PROD805,Sweden
2080,Accepted-In Progress,Stephen,2012/5/18 16:08:41,High,us,Org line C,C_6,PROD785,USA
2080,Queued-Awaiting Assignment,Stephen,2012/5/18 16:24:02,High,us,Org line C,C_6,PROD785,USA
2080,Accepted-In Progress,Kymaria,2012/5/18 16:24:03,High,us,Org line C,V3_3,PROD785,USA
2080,Queued-Awaiting Assignment,Stephen,2012/5/18 18:14:23,High,us,Org line C,C_6,PROD785,USA
2080,Accepted-In Progress,Stephen,2012/5/18 19:57:59,High,us,Org line C,C_6,PROD785,USA
2205,Accepted-In Progress,Peter,2012/6/1 16:27:00,Medium,se,Org line C,E_7,PROD673,Sweden
2205,Queued-Awaiting Assignment,Peter,2012/6/1 16:45:38,Medium,se,Org line C,E_7,PROD673,Sweden
2205,Accepted-Assigned,Rohan,2012/6/4 10:27:25,Medium,se,Org line C,E_7,PROD673,INDIA
